,ardrone_predictedPose__batteryPercent,ardrone_predictedPose__droneState,ardrone_predictedPose__dx,ardrone_predictedPose__dy,ardrone_predictedPose__dyaw,ardrone_predictedPose__dz,ardrone_predictedPose__pitch,ardrone_predictedPose__ptamState,ardrone_predictedPose__roll,ardrone_predictedPose__scale,ardrone_predictedPose__scaleAccuracy,ardrone_predictedPose__x,ardrone_predictedPose__y,ardrone_predictedPose__yaw,ardrone_predictedPose__z,vrpn_client_node_ardrone_pose__pose_orientation_w,vrpn_client_node_ardrone_pose__pose_orientation_x,vrpn_client_node_ardrone_pose__pose_orientation_y,vrpn_client_node_ardrone_pose__pose_orientation_z,vrpn_client_node_ardrone_pose__pose_position_x,vrpn_client_node_ardrone_pose__pose_position_y,vrpn_client_node_ardrone_pose__pose_position_z
2016-05-05 05:51:24.462068480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:24.495386368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:24.528688384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:24.562108160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:24.595435264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:24.628774656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:24.662089216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:24.695423232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:24.728712192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:24.762087168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:24.795435776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:24.828740608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
